Marka,Model,Yil,Km,Vites,Yakit,Fiyat,Tuketim
Jaguar,XF 2.0 D Prestige Plus,2017,26100,Otomatik Vites,Dizel,634500,4.5
Acura,CL,2015,127000,Otomatik Vites,Dizel,151500,6.0
Acura,CL 2.2,1994,175000,Manuel Vites,Benzin,19750,6.0
Acura,CL,2013,325,Manuel Vites,Dizel,52000,6.0
Acura,CL 2.2,2010,207000,Otomatik Vites,Dizel,148750,7.0
Acura,CL 2.2,1999,320000,Manuel Vites,Dizel,42500,7.0
Acura,CL 2.2,2014,183,Otomatik Vites,Dizel,170000,6.0
Acura,CL,2014,79000,Manuel Vites,Dizel,82500,6.0
Acura,CL,2001,252000,Manuel Vites,Benzin,36750,6.0
Acura,CL,2010,232000,Manuel Vites,Dizel,52000,5.5
Acura,CL,2014,168000,Manuel Vites,Dizel,84000,6.0
Acura,CL,2004,230000,Manuel Vites,Dizel,32000,6.0
Acura,CL,2004,18000,Manuel Vites,Benzin,34500,6.0
Acura,CL,2012,249000,Otomatik Vites,Dizel,235000,7.0
Acura,CL,2017,70000,Otomatik Vites,Dizel,97500,6.0
Acura,CL,2013,210000,Otomatik Vites,Dizel,234900,7.0
Acura,CL,2004,240000,Manuel Vites,Benzin,50000,7.0
Jeep,Wrangler 2.8 CRD,2014,54000,Otomatik Vites,Dizel,457500,8.0
Acura,CL 2.2,2012,270,Manuel Vites,Dizel,82500,7.0
Acura,CL,2009,150000,Manuel Vites,Dizel,34000,5.5
Acura,CL,2009,150000,Manuel Vites,Dizel,34000,5.5
Acura,CL 2.2,2016,70000,Manuel Vites,Benzin,77500,5.5
Acura,CL,2011,182,Manuel Vites,Dizel,62000,5.5
Acura,CL Diğer,2012,99750,Manuel Vites,Dizel,86500,7.0
Acura,CL 2.2,2011,302000,Manuel Vites,Dizel,51000,7.0
Hyundai,Tucson 1.6 GDI Style,2015,75000,Otomatik Vites,Benzin,160000,6.0
Acura,CL Diğer,2004,170000,Manuel Vites,Benzin,55000,6.0
Acura,CL 2.2,2008,189000,Manuel Vites,Dizel,58750,6.0
Acura,CL,2014,89000,Otomatik Vites,Dizel,345000,7.0
Acura,TL Diğer,2016,172000,Manuel Vites,Dizel,92000,7.0
Hyundai,Tucson 1.6 GDI Style,2015,75000,Otomatik Vites,Benzin,160000,6.0
Alfa Romeo,147 1.6 TS Distinctive,2008,220000,Manuel Vites,Benzin,45000,6.0
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2013,114000,Manuel Vites,Dizel,113000,6.0
Alfa Romeo,147 1.6 TS Distinctive,2004,246000,Manuel Vites,Benzin,43750,6.0
Alfa Romeo,Mito 1.4 T MultiAir TCT City,2012,100000,Otomatik Vites,Benzin,108000,6.0
Alfa Romeo,156 2.0 TS 16V Selespeed,2002,220000,Otomatik Vites,Benzin,45000,7.0
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2018,32000,Otomatik Vites,Dizel,178750,6.0
Alfa Romeo,156 1.9 JTD 16V Progression,2016,41128,Otomatik Vites,Dizel,236750,6.0
Alfa Romeo,Diğer Diğer,2013,182000,Manuel Vites,Dizel,72950,5.5
Alfa Romeo,Diğer Diğer,2013,99000,Otomatik Vites,Benzin,105900,6.0
Alfa Romeo,159 1.9 JTD Distinctive Plus,2007,229000,Otomatik Vites,Dizel,77500,7.0
Alfa Romeo,156 1.6 TS,1998,262000,Manuel Vites,Benzin,32000,6.0
Alfa Romeo,Giulietta 1.6 JTD Super TCT,2016,80000,Otomatik Vites,Dizel,166500,6.0
Alfa Romeo,147 1.9 JTD Q2,2008,244000,Manuel Vites,Dizel,83000,7.0
Alfa Romeo,Giulietta Diğer,2013,85000,Otomatik Vites,Benzin,127500,6.0
Alfa Romeo,Giulietta 1.6 JTD Distinctive,2012,222000,Manuel Vites,Dizel,69000,6.0
Alfa Romeo,147 1.6 TS Distinctive,2004,236500,Manuel Vites,Benzin,38500,6.0
Alfa Romeo,145 1.6 L,2015,104860,Otomatik Vites,Benzin,343250,6.0
Audi,Q7 3.0 TDI Quattro,2006,274654,Otomatik Vites,Dizel,162750,8.0
Audi,A4 2.0 TDI Quattro,2014,283000,Otomatik Vites,Dizel,225000,7.0
Audi,A6 2.0 TDI,2008,336000,Otomatik Vites,Dizel,117500,7.0
Audi,A4 2.0 TDI,2009,298000,Otomatik Vites,Dizel,119900,8.0
Audi,A4 A4 Sedan 2.0 TDI,2012,164000,Otomatik Vites,Dizel,177500,7.0
Audi,A4 2.0 TDI,2009,302000,Otomatik Vites,Dizel,117500,7.0
Audi,A3 1.6 TDI Ambition,2016,43500,Otomatik Vites,Dizel,248000,6.0
Audi,Q7 3.0 TDI Quattro,2006,230000,Otomatik Vites,Dizel,155000,8.0
Audi,A4 2.0 TDI,2015,85000,Otomatik Vites,Dizel,262000,7.0
Audi,A3 A3 Sportback 1.4 TFSI Attraction,2008,201500,Manuel Vites,Benzin,83900,6.0
Audi,A3 A3 Sportback 1.6 Attraction,2011,146000,Otomatik Vites,Benzin,115000,6.0
Audi,A3 1.6 TDI Ambition Sportback,2012,114000,Otomatik Vites,Dizel,145000,6.0
Audi,A4 1.6,2008,220042,Manuel Vites,Benzin,110000,7.0
Audi,A4 A4 Sedan 3.0,2003,239000,Otomatik Vites,Benzin,79900,8.0
Audi,A5 A5 Coupe 1.8 TFSI,2010,105000,Otomatik Vites,Benzin,159900,7.0
Audi,A5 1.8 TFSI Coupe,2011,94000,Otomatik Vites,Benzin,175000,7.0
Audi,A3 1.6 TDI Attraction Sportback,2012,147500,Otomatik Vites,Dizel,147500,6.0
Audi,Q5 2.0 TDI Quattro Sport,2017,47800,Otomatik Vites,Dizel,669900,7.0
Audi,A4 2.0 TDI,2016,80000,Otomatik Vites,Dizel,274900,7.0
Mercedes,A Serisi A 180 CDI BlueEfficiency Style,2014,182000,Otomatik Vites,Dizel,199500,6.0
